id, opinion
0, 必要ないです！おもちゃや絵本を与えて、基本的な想像力を育成した方が良いです！基本ができないと、ユーチュー\nブ見ても成長しないです！\n\n\n\n
1, スマホ与えて勝手に見させておくって、お手軽で親は楽だが、小さな子にウザYOUTUBERみたいな喋り癖が付くのはとても厳しい。
2, 家族総出で、パソコン・ネット断ちすることを強くおすすめします．目や頭が痛いのも治りますし，時間も増えて子どもも即いい子に変身！いいことづくめです．
3, 他の動画への誘導が巧みなため依存を促しやすい
4, 様々な視点から興味を深められる
5, 親は子供が置かれている状況を理解しつつも、子供がYouTubeにのめり込みすぎないようコミュニケーションをとっていくことが大事。
6, 安易な批判や悪意あるコメントにさらされる場合がある
7, 子供にYouTubeを見せていると言うと「動画ばかり見てバカにならない？」といった反応をする人がいるが、バカにはならない。むしろ人を楽しませる行為を動画を通して実によく学習するので驚く。
8, YouTubeは小さい頃は膨大な育児を助けてくれるデジタル子守りコンテンツとして、ある程度大きくなったら発信の方法を学ぶ広義の学習コンテンツとして非常に役に立つ
9, 幼児用でも内容、言語、種類がワールドワイドなので、利点をいかして多種多様なものを見てほしいが、関連性の高い動画を出してきて偏るのが残念。
10, 悪質な内容の動画へと誘導される危険性がある
11, 「自分にもできるかな」と能動的な意欲を掻き立ててくれる
12, 子どもに対して必要な処置は、YouTubeの視聴制限ではない。そうではなくて、YouTubeを鍵にして、いかに現実とリンクさせるか。その一点なんじゃないか。
13, 子供の電子機器操作能力は凄まじい。動画から実に様々なことを吸収し、あっという間に覚えてしまう。youtubeを見せない、というのは極端すぎる。親が一緒に話しかけながら適切にyoutubeを使えば、子供の世界は格段に広がる。
14, 今の時代、子供に全くYouTubeを見せないことは難しいと思う。多くの子供がYouTubeを見ている以上、子供がYouTubeの話題についていけないと仲間外れにされ友達ができなくなる恐れがある。
15, 私自身も、かつてはテレビっ子だった。テレビの見すぎで1日を無駄にしたような感覚に襲われたり目が痛くなったりしたこともある。その反動で、今ではなるべく外で友人と遊んだりスポーツをしたり、心の健康を保つためにいろいろ工夫するようになった。\n\nYoutube中毒でメンタル的に落ちるという経験も、そこから這い上がる経験も、今の幼児は誰もが通る道なのかもしれない。\n\nアウトドア系の動画に触発されてキャンプに出かけるようになったり、外の世界での楽しみ方を増やすきっかけになればいいと思うけどね。
