id,opinion
0, 'ファンクラブの年会費とコンサートに行く程度の出費です。'
1, 'コンサート毎回全公演申し込み、当たったら遠征してでも行きます。イケメンに癒されたいからオタクがやめられず、ついついお金を使ってしまいます。'
2, 'イベントやライブには、年60回は行っていました。土日はそれこそイベントをハシゴですよ。推しメンの生誕祭のときには、会場で配るサイリウムも買っていましたし、なんだかんだで年間100万円は使っていましたね。「私が応援しないと推しメンが出世できない！」と思うから。'
3, 'みんながまだ注目していないアイドルを見つけて、その成長を見守る。特にまだ知名度の浅いアイドルが好きなファンは、そうした成長過程を見るのが楽しいもの。そして、熱心に応援することで、あたかも自らが親になった気分で、子であるアイドルを育てている感覚になります。'
4, '好きなアイドルが出てる雑誌を買ったり、写真を買っています。'
5, '好きだけど特にお金はかけない'
6, '好きだから。好きだから逢いに行くし、好きだから応援するし、好きだから夢を見る。'
7, '気がついたら'
8, 'ライブは行ける時だけ行く。\nCDやグッズは複数買いはしない。\n物販などの接触は行ったり行かなかったり程度。'
9, '応援しないといなくなっちゃうかもしれないから'
10, '可愛いから'
11, '同じ未来に夢を持っていて、グループの描く社会や将来、考え方に深く共感していて、グループを応援することで自分らしくいられるから。社会で自分がひとりぼっちじゃない、グループやそのファンという味方がいるんだと思えるから。'
12, '買わなきゃ気が済まないのもあるけど可愛いからお金を使いたくなる'
13, '海外遠征したり、行きたい公演に行ったり、握手会があれば積むし、気づいたらお金を使ってる。'
14, '応援しない'
15, '友達がファンクラブに入っててついていくぐらい！'
16, 'コンサートに行きたいから！！！'
17, '好きなアイドルがいないからわからない\n'
